告白氣球           	周杰倫                 	Jay Chou  
小幸運            	田馥甄                 	Hebe      
後來的我們          	五月天                 	Mayday    
演員             	薛之謙                 	          
你，好不好？         	Eric 周興哲            	          
突然好想你          	五月天                 	Mayday    
曖昧             	薛之謙                 	          
不該             	周杰倫                 	Jay Chou  
好好 (想把你寫成一首歌)  	五月天                 	Mayday    
你還要我怎樣         	薛之謙                 	          
可惜沒如果          	林俊傑                 	JJ Lin    
派對動物           	五月天                 	Mayday    
醜八怪            	薛之謙                 	          
如果我們不曾相遇       	五月天                 	Mayday    
修煉愛情           	林俊傑                 	JJ Lin    
以後別做朋友         	Eric 周興哲            	          
她說             	林俊傑                 	JJ Lin    
說散就散           	JC                  	          
說好的幸福呢         	周杰倫                 	          
你不是真正的快樂       	五月天                 	Mayday    
演員             	田馥甄                 	Hebe      
我不願讓你一個人【三立「真愛找麻煩」片尾曲】	五月天                 	Mayday    
晴天             	周杰倫                 	          
剛剛好            	薛之謙                 	          
不為誰而作的歌        	林俊傑                 	JJ Lin    
讓我留在你身邊        	陳奕迅                 	          
頑固             	五月天                 	Mayday    
我害怕            	薛之謙                 	          
珊瑚海            	周杰倫,                     梁心頤	          
擱淺             	周杰倫                 	Jay Chou  
淘汰(國)          	陳奕迅                 	          
明明就            	周杰倫                 	          
洋蔥             	五月天                 	Mayday    
彩虹             	周杰倫                 	          
任意門            	五月天                 	Mayday    
最好的一天          	五月天                 	Mayday    
不能說的祕密         	周杰倫                 	          
算什麼男人          	周杰倫                 	          
安靜             	周杰倫                 	          
成名在望           	五月天                 	Mayday    
蒲公英的約定         	周杰倫                 	          
披風             	陳奕迅                 	          
光年之外           	G.E.M.鄧紫棋           	          
說謊             	林宥嘉                 	Yoga Lin  
終於結束的起點        	五月天                 	Mayday    
一路向北           	周杰倫                 	          
給我一個理由忘記       	A-Lin               	          
給我一首歌的時間       	周杰倫                 	          
龍捲風            	周杰倫                 	          
開不了口           	周杰倫                 	          
妮妮             	那對夫妻                	Nico&Kim  
最長的電影          	周杰倫                 	Jay Chou  
志明與春嬌          	五月天                 	Mayday    
說了再見           	周杰倫                 	          
乾杯             	五月天                 	Mayday    
聽見下雨的聲音        	周杰倫                 	          
我喜歡上你時的内心活動    	陳綺貞                 	Cheer Chen
人生有限公司         	五月天                 	Mayday    
我的歌聲裡          	曲婉婷                 	          
失落沙洲           	徐佳瑩                 	Lala Hsu  
我好想你           	蘇打綠                 	          
兄弟             	五月天                 	Mayday    
轉眼             	五月天                 	Mayday    
也可以            	閻奕格                 	          
我不配            	周杰倫                 	          
寂寞寂寞就好         	田馥甄                 	Hebe      
小情歌            	蘇打綠                 	          
不將就            	李榮浩                 	          
步步             	五月天                 	Mayday    
夜曲             	周杰倫                 	          
愛情廢柴           	周杰倫                 	Jay Chou  
凡人歌            	五月天                 	Mayday    
江南             	林俊傑                 	JJ Lin    
相依為命           	陳小春                 	          
紳士             	薛之謙                 	          
浪費             	林宥嘉                 	Yoga Lin  
志明與春嬌          	五月天                 	Mayday    
那些年            	那些年，我們一起追的女孩 電影原聲帶  	          
走著走著就散了        	莊心妍                 	          
傷心的人別聽慢歌       	五月天                 	Mayday    
永不失聯的愛         	Eric 周興哲            	          
背對背擁抱          	林俊傑                 	JJ Lin    
別說             	JC                  	          
愛你沒差           	周杰倫                 	          
愛你             	陳芳語                 	Kimberley 
記得             	林俊傑                 	JJ Lin    
李白             	李榮浩                 	          
帥到分手           	周湯豪                 	NICKTHEREAL
少年他的奇幻漂流       	五月天                 	Mayday    
慢慢習慣           	劉德華                 	Andy Lau  
你就不要想起我        	田馥甄                 	Hebe      
回到過去           	周杰倫                 	Jay Chou  
我懷念的           	孫燕姿                 	          
天真有邪           	林宥嘉                 	Yoga Lin  
知足             	五月天                 	Mayday    
遇見             	孫燕姿                 	          
學不會            	林俊傑                 	JJ Lin    
一點點            	周杰倫                 	Jay Chou  
當你             	林俊傑                 	JJ Lin    
七里香            	周杰倫                 	Jay Chou  
