演員             	薛之謙                 	          
小幸運            	田馥甄                 	Hebe      
告白氣球           	周杰倫                 	Jay Chou  
現任朋友           	JC                  	          
你，好不好？         	Eric 周興哲            	          
後來的我們          	五月天                 	Mayday    
你還要我怎樣         	薛之謙                 	          
不該             	周杰倫                 	Jay Chou  
可惜沒如果          	林俊傑                 	JJ Lin    
醜八怪            	薛之謙                 	          
說散就散           	JC                  	          
修煉愛情           	林俊傑                 	JJ Lin    
突然好想你          	五月天                 	Mayday    
永不失聯的愛         	Eric 周興哲            	          
以後別做朋友         	Eric 周興哲            	          
她說             	林俊傑                 	JJ Lin    
演員             	田馥甄                 	Hebe      
剛剛好            	薛之謙                 	          
曖昧             	薛之謙                 	          
淘汰(國)          	陳奕迅                 	          
說好的幸福呢         	周杰倫                 	          
晴天             	周杰倫                 	          
光年之外           	G.E.M.鄧紫棋           	          
就這樣            	李榮浩                 	          
讓我留在你身邊        	陳奕迅                 	          
不為誰而作的歌        	林俊傑                 	JJ Lin    
擱淺             	周杰倫                 	Jay Chou  
珊瑚海            	周杰倫,                     梁心頤	          
好好 (想把你寫成一首歌)  	五月天                 	Mayday    
明明就            	周杰倫                 	          
在沒有你以後 (feat. 張智成)	謝和弦                 	R-chord   
說謊             	林宥嘉                 	Yoga Lin  
失落沙洲           	徐佳瑩                 	Lala Hsu  
彩虹             	周杰倫                 	          
安靜             	周杰倫                 	          
如果我們不曾相遇       	五月天                 	Mayday    
不能說的祕密         	周杰倫                 	          
蒲公英的約定         	周杰倫                 	          
派對動物           	五月天                 	Mayday    
你不是真正的快樂       	五月天                 	Mayday    
我不願讓你一個人【三立「真愛找麻煩」片尾曲】	五月天                 	Mayday    
一路向北           	周杰倫                 	          
算什麼男人          	周杰倫                 	          
龍捲風            	周杰倫                 	          
開不了口           	周杰倫                 	          
給我一個理由忘記       	A-Lin               	          
給我一首歌的時間       	周杰倫                 	          
紳士             	薛之謙                 	          
有點甜            	汪苏泷                 	          
說了再見           	周杰倫                 	          
最長的電影          	周杰倫                 	Jay Chou  
凉凉             	楊宗緯                 	Aska Yang 
最初的記憶          	徐佳瑩                 	Lala Hsu  
頑固             	五月天                 	Mayday    
相依為命           	陳小春                 	          
洋蔥             	五月天                 	Mayday    
浪費             	林宥嘉                 	Yoga Lin  
聽見下雨的聲音        	周杰倫                 	          
我好想你           	蘇打綠                 	          
我不配            	周杰倫                 	          
不將就            	李榮浩                 	          
天真有邪           	林宥嘉                 	Yoga Lin  
別說             	JC                  	          
江南             	林俊傑                 	JJ Lin    
寂寞寂寞就好         	田馥甄                 	Hebe      
我的歌聲裡          	曲婉婷                 	          
也可以            	閻奕格                 	          
小情歌            	蘇打綠                 	          
披風             	陳奕迅                 	          
李白             	李榮浩                 	          
夜曲             	周杰倫                 	          
背對背擁抱          	林俊傑                 	JJ Lin    
我懷念的           	孫燕姿                 	          
記得             	林俊傑                 	JJ Lin    
那些年            	那些年，我們一起追的女孩 電影原聲帶  	          
愛情廢柴           	周杰倫                 	Jay Chou  
愛你             	陳芳語                 	Kimberley 
你就不要想起我        	田馥甄                 	Hebe      
漂向北方           	黃明志                 	Namewee   
回到過去           	周杰倫                 	Jay Chou  
愛你沒差           	周杰倫                 	          
遇見             	孫燕姿                 	          
七里香            	周杰倫                 	Jay Chou  
追光者            	岑寧兒                 	Yoyo Sham 
一直走            	A-Lin               	          
當你             	林俊傑                 	JJ Lin    
學不會            	林俊傑                 	JJ Lin    
我害怕            	薛之謙                 	          
妮妮             	那對夫妻                	Nico&Kim  
走著走著就散了        	莊心妍                 	          
星晴             	周杰倫                 	          
終於結束的起點        	五月天                 	Mayday    
三生三世           	張杰                  	Jason Chang
謝謝妳愛我          	謝和弦                 	R-chord   
泡沫             	G.E.M.鄧紫棋           	          
剛好遇見你          	李玉剛                 	          
稻香             	周杰倫                 	          
楓              	周杰倫                 	          
擊敗人            	黃明志                 	Namewee   
我愛過你           	Eric 周興哲            	          
