小幸運            	田馥甄                 	Hebe      
告白氣球           	周杰倫                 	Jay Chou  
演員             	薛之謙                 	          
那些你很冒險的夢       	Eric 周興哲            	          
你，好不好？         	林俊傑                 	JJ Lin    
終於結束的起點        	Eric 周興哲            	          
可惜沒如果          	五月天                 	Mayday    
後來的我們          	林俊傑                 	JJ Lin    
追光者            	五月天                 	Mayday    
不該             	岑寧兒                 	Yoyo Sham 
修煉愛情           	周杰倫                 	Jay Chou  
連名帶姓           	林俊傑                 	JJ Lin    
她說             	aMEI                	張惠妹       
你還要我怎樣         	林俊傑                 	JJ Lin    
說散就散           	薛之謙                 	          
相依為命           	JC                  	          
突然好想你          	陳小春                 	          
說好的幸福呢         	五月天                 	Mayday    
不為誰而作的歌        	周杰倫                 	          
剛剛好            	林俊傑                 	JJ Lin    
晴天             	薛之謙                 	          
以後別做朋友         	周杰倫                 	          
醜八怪            	Eric 周興哲            	          
淘汰(國)          	薛之謙                 	          
我多喜歡你，你會知道     	林俊傑                 	JJ Lin    
珊瑚海            	陳奕迅                 	          
擱淺             	王俊琪                 	          
安靜             	周杰倫,                     梁心頤	          
明明就            	周杰倫                 	Jay Chou  
不能說的祕密         	周杰倫                 	          
算什麼男人          	周杰倫                 	          
曖昧             	周杰倫                 	          
演員             	周杰倫                 	          
風衣             	薛之謙                 	          
有點甜            	田馥甄                 	Hebe      
漂向北方           	孫燕姿                 	          
蒲公英的約定         	汪苏泷                 	          
彩虹             	黃明志                 	Namewee   
一千零一個願望        	周杰倫                 	          
讓我留在你身邊        	周杰倫                 	          
光年之外           	楊丞琳                 	Rainie Yang
一路向北           	陳奕迅                 	          
開不了口           	G.E.M.鄧紫棋           	          
說謊             	周杰倫                 	          
給我一首歌的時間       	周杰倫                 	          
龍捲風            	林宥嘉                 	Yoga Lin  
最長的電影          	周杰倫                 	          
戒菸             	周杰倫                 	          
說了再見           	周杰倫                 	Jay Chou  
我不願讓你一個人【三立「真愛找麻煩」片尾曲】	李榮浩                 	          
獨家記憶           	周杰倫                 	          
青春住了誰          	五月天                 	Mayday    
你不是真正的快樂       	陳小春                 	Jordan Chan
偷故事的人          	楊丞琳                 	Rainie Yang
失落沙洲           	五月天                 	Mayday    
派對動物           	aMEI                	張惠妹       
給我一個理由忘記       	徐佳瑩                 	Lala Hsu  
記得             	五月天                 	Mayday    
好好 (想把你寫成一首歌)  	A-Lin               	          
剛好遇見你          	林俊傑                 	JJ Lin    
江南             	五月天                 	Mayday    
愛笑的眼睛          	李玉剛                 	          
如果我們不曾相遇       	林俊傑                 	JJ Lin    
我不配            	林俊傑                 	JJ Lin    
紳士             	五月天                 	Mayday    
背對背擁抱          	徐佳瑩                 	Lala Hsu  
夜曲             	周杰倫                 	          
洋蔥             	薛之謙                 	          
當你             	林俊傑                 	JJ Lin    
愛你             	周杰倫                 	          
永不失聯的愛         	五月天                 	Mayday    
我們不一樣          	林俊傑                 	JJ Lin    
取消資格           	陳芳語                 	Kimberley 
聽見下雨的聲音        	Eric 周興哲            	          
誰來剪月光          	大壯                  	          
我好想你           	陳小春                 	          
我懷念的           	周杰倫                 	          
寂寞寂寞就好         	陳奕迅                 	          
不將就            	蘇打綠                 	          
學不會            	孫燕姿                 	          
遇見             	田馥甄                 	Hebe      
浪費             	李榮浩                 	          
我多喜歡你，你會知道     	林俊傑                 	JJ Lin    
李白             	孫燕姿                 	          
那些年            	林宥嘉                 	Yoga Lin  
我的歌聲裡          	王俊琪                 	          
不會有事的          	李榮浩                 	          
回到過去           	那些年，我們一起追的女孩 電影原聲帶  	          
身後             	曲婉婷                 	          
小情歌            	連詩雅                 	          
年輪說            	周杰倫                 	Jay Chou  
星晴             	aMEI                	張惠妹       
愛你沒差           	蘇打綠                 	          
楓              	楊丞琳                 	Rainie Yang
你就不要想起我        	周杰倫                 	          
頑固             	周杰倫                 	          
我知道要微笑         	周杰倫                 	          
