等你下課           	周杰倫                 	Jay Chou  
體面             	于文文                 	Kelly     
告白氣球           	周杰倫                 	Jay Chou  
小幸運            	田馥甄                 	Hebe      
追光者            	岑寧兒                 	Yoyo Sham 
演員             	薛之謙                 	          
說散就散           	JC                  	          
幾分之幾           	盧廣仲                 	Crowd Lu  
你，好不好？         	Eric 周興哲            	          
什麼歌            	五月天                 	Mayday    
那些你很冒險的夢       	林俊傑                 	JJ Lin    
不該             	周杰倫                 	Jay Chou  
可惜沒如果          	林俊傑                 	JJ Lin    
後來的我們          	五月天                 	Mayday    
修煉愛情           	林俊傑                 	JJ Lin    
如果雨之後          	Eric 周興哲            	          
她說             	林俊傑                 	JJ Lin    
突然好想你          	五月天                 	Mayday    
說好的幸福呢         	周杰倫                 	          
你還要我怎樣         	薛之謙                 	          
終於結束的起點        	五月天                 	Mayday    
晴天             	周杰倫                 	          
漂向北方           	黃明志, G.E.M.鄧紫棋      	          
不為誰而作的歌        	林俊傑                 	JJ Lin    
珊瑚海            	周杰倫,                     梁心頤	          
擱淺             	周杰倫                 	Jay Chou  
剛剛好            	薛之謙                 	          
以後別做朋友         	Eric 周興哲            	          
不能說的祕密         	周杰倫                 	          
相依為命           	陳小春                 	          
醜八怪            	薛之謙                 	          
青春住了誰          	楊丞琳                 	Rainie Yang
安靜             	周杰倫                 	          
明明就            	周杰倫                 	          
算什麼男人          	周杰倫                 	          
光年之外           	G.E.M.鄧紫棋           	          
黑夜問白天          	林俊傑                 	JJ Lin    
Despacito 緩緩   	Luis Fonsi          	          
彩虹             	周杰倫                 	          
蒲公英的約定         	周杰倫                 	          
漂向北方           	黃明志                 	Namewee   
有點甜            	汪苏泷                 	          
淘汰(國)          	陳奕迅                 	          
曖昧             	薛之謙                 	          
開不了口           	周杰倫                 	          
給我一首歌的時間       	周杰倫                 	          
一路向北           	周杰倫                 	          
讓我留在你身邊        	陳奕迅                 	          
我們不一樣          	大壯                  	          
連名帶姓           	aMEI                	張惠妹       
你瞞我瞞           	陳柏宇                 	          
剛好遇見你          	李玉剛                 	          
演員             	田馥甄                 	Hebe      
龍捲風            	周杰倫                 	          
最長的電影          	周杰倫                 	Jay Chou  
我不願讓你一個人【三立「真愛找麻煩」片尾曲】	五月天                 	Mayday    
說了再見           	周杰倫                 	          
說謊             	林宥嘉                 	Yoga Lin  
你不是真正的快樂       	五月天                 	Mayday    
江南             	林俊傑                 	JJ Lin    
這種天真           	容祖兒                 	Joey Yung 
派對動物           	五月天                 	Mayday    
我多喜歡你，你會知道     	王俊琪                 	          
給我一個理由忘記       	A-Lin               	          
聽見下雨的聲音        	周杰倫                 	          
我不配            	周杰倫                 	          
永不失聯的愛         	Eric 周興哲            	          
記得             	林俊傑                 	JJ Lin    
失落沙洲           	徐佳瑩                 	Lala Hsu  
好好 (想把你寫成一首歌)  	五月天                 	Mayday    
背對背擁抱          	林俊傑                 	JJ Lin    
年輪說            	楊丞琳                 	Rainie Yang
我知道要微笑         	Eric 周興哲            	          
如果我們不曾相遇       	五月天                 	Mayday    
洋蔥             	五月天                 	Mayday    
愛你             	陳芳語                 	Kimberley 
當你             	林俊傑                 	JJ Lin    
夜曲             	周杰倫                 	          
紳士             	薛之謙                 	          
愛笑的眼睛          	林俊傑                 	JJ Lin    
追光者            	蔡佩軒                 	Ariel Tsai
我的歌聲裡          	曲婉婷                 	          
我好想你           	蘇打綠                 	          
回到過去           	周杰倫                 	Jay Chou  
我們盡力了          	黃致列                 	          
學不會            	林俊傑                 	JJ Lin    
愛的就是你          	劉佳                  	          
星晴             	周杰倫                 	          
不將就            	李榮浩                 	          
取消資格           	陳小春                 	          
寂寞寂寞就好         	田馥甄                 	Hebe      
那些年            	那些年，我們一起追的女孩 電影原聲帶  	          
小情歌            	蘇打綠                 	          
不如不遇見          	黃致列                 	          
遇見             	孫燕姿                 	          
愛你沒差           	周杰倫                 	          
說散就散           	袁婭維                 	          
李白             	李榮浩                 	          
我懷念的           	孫燕姿                 	          
頑固             	五月天                 	Mayday    
